"coef","est","lo","hi","arm","rep"
"x1",1.85279109798297,1.6619194862395,2.04366270972644,"CC",10
"x2",-0.881090001429743,-1.07845621243323,-0.683723790426252,"CC",10
"gb",1.34355656981085,1.0443139402736,1.6427991993481,"CC",10
"x1",1.93308121815849,1.76863344674427,2.09752898957272,"MI",10
"x2",-0.907865921485817,-1.09635669113729,-0.719375151834345,"MI",10
"gb",1.38060099406567,1.11008841576421,1.65111357236714,"MI",10
"x1",2.01789557708194,1.86121249246755,2.17457866169634,"PMM",10
"x2",-0.875578649325646,-1.04740286335748,-0.703754435293812,"PMM",10
"gb",1.54539338232271,1.31008668910922,1.78070007553619,"PMM",10
"x1",2.06699801708803,1.96344165125798,2.17055438291808,"FULL",11
"x2",-0.891438648162549,-1.00246031985033,-0.780416976474771,"FULL",11
"gb",1.49529454658789,1.29534234314176,1.69524675003401,"FULL",11
"x1",1.91786768952885,1.74761552191889,2.0881198571388,"CC",11
"x2",-0.754523161364914,-0.929768166035936,-0.579278156693892,"CC",11
"gb",1.25656370887531,0.929280251195457,1.58384716655517,"CC",11
"x1",1.92256262789478,1.75196911719267,2.09315613859688,"MI",11
"x2",-0.746702947691887,-0.877468523459689,-0.615937371924086,"MI",11
"gb",1.37357426291315,1.00191583383781,1.74523269198849,"MI",11
"x1",1.97857715836856,1.73704128113588,2.22011303560123,"PMM",11
"x2",-0.736661158813223,-1.04362002166796,-0.429702295958482,"PMM",11
"gb",1.372359814716,1.08689395663386,1.65782567279813,"PMM",11
"x1",1.91764213187852,1.78802152345091,2.04726274030612,"FULL",12
"x2",-0.942251555300119,-1.07309210463559,-0.811411005964651,"FULL",12
"gb",1.39851433158514,1.19032894796429,1.60669971520599,"FULL",12
"x1",1.78521736436025,1.59284072949044,1.97759399923007,"CC",12
"x2",-0.737510451955334,-0.921111649383314,-0.553909254527354,"CC",12
"gb",1.16406806455281,0.861907166245138,1.46622896286048,"CC",12
"x1",1.90032748621301,1.7475667814305,2.05308819099552,"MI",12
"x2",-0.85845838615422,-0.989357939409823,-0.727558832898616,"MI",12
"gb",1.27707977241225,0.989246783257571,1.56491276156693,"MI",12
"x1",1.93861768366347,1.79671850196444,2.08051686536249,"PMM",12
"x2",-0.852361448369013,-1.00706667121144,-0.697656225526584,"PMM",12
"gb",1.35306974880171,1.12916995905868,1.57696953854474,"PMM",12
"x1",2.10254456809351,1.98252464049593,2.22256449569109,"FULL",13
"x2",-1.01225475616751,-1.12349517636317,-0.901014335971855,"FULL",13
"gb",1.45483785135581,1.25133749970977,1.65833820300185,"FULL",13
"x1",2.08092830883033,1.88626280496174,2.27559381269891,"CC",13
"x2",-0.944646636751173,-1.1233891857431,-0.76590408775925,"CC",13
"gb",1.44575979912198,1.13330216897047,1.75821742927348,"CC",13
"x1",2.11119865120656,1.89630565591984,2.32609164649328,"MI",13
"x2",-0.98064488997098,-1.24162955847597,-0.71966022146599,"MI",13
"gb",1.6316973460886,1.39793156868119,1.865463123496,"MI",13
"x1",2.13748691101625,1.99100684362898,2.28396697840352,"PMM",13
"x2",-0.990868758368506,-1.14807724050323,-0.83366027623378,"PMM",13
"gb",1.57682886851032,1.2344635416526,1.91919419536804,"PMM",13
"x1",2.00889974208004,1.89022746311732,2.12757202104276,"FULL",14
"x2",-0.99402955718343,-1.1067860941933,-0.881273020173556,"FULL",14
"gb",1.51469113730324,1.30618234202075,1.72319993258573,"FULL",14
"x1",2.03447204204573,1.84347362498007,2.22547045911139,"CC",14
"x2",-0.98008194796984,-1.16467508787055,-0.795488808069128,"CC",14
"gb",1.45646287855323,1.13315010951175,1.77977564759471,"CC",14
"x1",2.00225781991852,1.82863446510313,2.17588117473392,"MI",14
"x2",-1.0144496709042,-1.16265340641206,-0.866245935396351,"MI",14
"gb",1.48839117025879,1.2480585637324,1.72872377678518,"MI",14
"x1",2.0986871120572,1.94522420409663,2.25215002001777,"PMM",14
